chart_year,artist,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2021,AJR,Bang!,0.767,0.916,4.0,-7.391,0.0,0.0542,0.00154,0.919,0.0423,0.517,99.994,audio_features,0zpvNgwbNZyfQ2b9dqE6CL,spotify:track:0zpvNgwbNZyfQ2b9dqE6CL,https://api.spotify.com/v1/tracks/0zpvNgwbNZyfQ2b9dqE6CL,https://api.spotify.com/v1/audio-analysis/0zpvNgwbNZyfQ2b9dqE6CL,193280.0,4.0
2021,Lil Baby,On Me,0.52,0.852,0.0,-5.866,1.0,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,audio_features,58ge6dfP91o9oXMzq3XkIS,spotify:track:58ge6dfP91o9oXMzq3XkIS,https://api.spotify.com/v1/tracks/58ge6dfP91o9oXMzq3XkIS,https://api.spotify.com/v1/audio-analysis/58ge6dfP91o9oXMzq3XkIS,253587.0,4.0
2021,Lewis Capaldi,Before You Go,0.818,0.673,4.0,-7.542,0.0,0.148,0.348,0.0,0.172,0.695,87.961,audio_features,5jzEwSyyymBlf1fa1o39T2,spotify:track:5jzEwSyyymBlf1fa1o39T2,https://api.spotify.com/v1/tracks/5jzEwSyyymBlf1fa1o39T2,https://api.spotify.com/v1/audio-analysis/5jzEwSyyymBlf1fa1o39T2,193636.0,4.0
2021,Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade,0.328,0.0686,0.0,-28.37,1.0,0.0496,0.983,0.664,0.0963,0.0364,138.593,audio_features,0vFOH96oqw1YZUs7ev5PW4,spotify:track:0vFOH96oqw1YZUs7ev5PW4,https://api.spotify.com/v1/tracks/0vFOH96oqw1YZUs7ev5PW4,https://api.spotify.com/v1/audio-analysis/0vFOH96oqw1YZUs7ev5PW4,116062.0,4.0
2021,Niko Moon,Good Time,0.518,0.952,6.0,-5.274,0.0,0.198,0.0287,0.0,0.381,0.622,171.905,audio_features,2alJKJoqOOEPVU1Do3eIjJ,spotify:track:2alJKJoqOOEPVU1Do3eIjJ,https://api.spotify.com/v1/tracks/2alJKJoqOOEPVU1Do3eIjJ,https://api.spotify.com/v1/audio-analysis/2alJKJoqOOEPVU1Do3eIjJ,235280.0,4.0
2021,Drake Featuring Lil Durk,Laugh Now Cry Later,0.671,0.729,2.0,-7.554,1.0,0.177,0.00122,0.00178,0.262,0.33,99.641,audio_features,72KtYadTtUchP2opNvcSWr,spotify:track:72KtYadTtUchP2opNvcSWr,https://api.spotify.com/v1/tracks/72KtYadTtUchP2opNvcSWr,https://api.spotify.com/v1/audio-analysis/72KtYadTtUchP2opNvcSWr,317640.0,4.0
2021,Chris Stapleton,Starting Over,0.868,0.512,8.0,-10.708,0.0,0.477,0.274,0.0,0.0706,0.715,150.002,audio_features,2z4cwnHBebyWzfOYRFRGXv,spotify:track:2z4cwnHBebyWzfOYRFRGXv,https://api.spotify.com/v1/tracks/2z4cwnHBebyWzfOYRFRGXv,https://api.spotify.com/v1/audio-analysis/2z4cwnHBebyWzfOYRFRGXv,147200.0,4.0
2021,Saweetie Featuring Doja Cat,Best Friend,0.847,0.522,1.0,-6.461,1.0,0.153,0.107,0.000233,0.144,0.276,122.935,audio_features,2oGY1X7Xd5kyL6B9s19D9A,spotify:track:2oGY1X7Xd5kyL6B9s19D9A,https://api.spotify.com/v1/tracks/2oGY1X7Xd5kyL6B9s19D9A,https://api.spotify.com/v1/audio-analysis/2oGY1X7Xd5kyL6B9s19D9A,227248.0,4.0
2021,Ritt Momney,Put Your Records On,0.287,0.953,7.0,-2.819,1.0,0.088,5.71e-06,4.73e-05,0.497,0.32,92.483,audio_features,7vlNJsXwdCNXpSCvC58jFa,spotify:track:7vlNJsXwdCNXpSCvC58jFa,https://api.spotify.com/v1/tracks/7vlNJsXwdCNXpSCvC58jFa,https://api.spotify.com/v1/audio-analysis/7vlNJsXwdCNXpSCvC58jFa,271283.0,4.0
2021,Parmalee x Blanco Brown,Just The Way,0.367,0.00162,4.0,-28.148,0.0,0.0562,0.986,0.075,0.134,0.146,128.923,audio_features,5SwvGQENYmZd7UoXHOHIza,spotify:track:5SwvGQENYmZd7UoXHOHIza,https://api.spotify.com/v1/tracks/5SwvGQENYmZd7UoXHOHIza,https://api.spotify.com/v1/audio-analysis/5SwvGQENYmZd7UoXHOHIza,322088.0,4.0
2021,Megan Thee Stallion Featuring DaBaby,Cry Baby,0.904,0.756,10.0,-3.746,1.0,0.32,0.0692,0.0,0.339,0.342,140.005,audio_features,28FGV3ORH14MYORd7s5dlU,spotify:track:28FGV3ORH14MYORd7s5dlU,https://api.spotify.com/v1/tracks/28FGV3ORH14MYORd7s5dlU,https://api.spotify.com/v1/audio-analysis/28FGV3ORH14MYORd7s5dlU,288087.0,4.0
2021,Darius Rucker,Beers And Sunshine,0.656,0.902,8.0,-9.453,0.0,0.0403,0.0793,0.871,0.0472,0.434,121.015,audio_features,5VDnV2q6OrlrPsHsDZtIP1,spotify:track:5VDnV2q6OrlrPsHsDZtIP1,https://api.spotify.com/v1/tracks/5VDnV2q6OrlrPsHsDZtIP1,https://api.spotify.com/v1/audio-analysis/5VDnV2q6OrlrPsHsDZtIP1,336092.0,4.0
2021,The Kid LAROI,Without You,0.843,0.535,6.0,-8.922,1.0,0.507,0.403,0.0,0.101,0.409,73.063,audio_features,4DNhuBSBRZ1DQn0PbBiBpF,spotify:track:4DNhuBSBRZ1DQn0PbBiBpF,https://api.spotify.com/v1/tracks/4DNhuBSBRZ1DQn0PbBiBpF,https://api.spotify.com/v1/audio-analysis/4DNhuBSBRZ1DQn0PbBiBpF,121853.0,4.0
2021,H.E.R.,Damage,0.742,0.572,6.0,-6.808,0.0,0.291,0.212,0.0,0.0983,0.236,119.234,audio_features,6PZiPEOlGm6fYxRTYHhC2n,spotify:track:6PZiPEOlGm6fYxRTYHhC2n,https://api.spotify.com/v1/tracks/6PZiPEOlGm6fYxRTYHhC2n,https://api.spotify.com/v1/audio-analysis/6PZiPEOlGm6fYxRTYHhC2n,225709.0,4.0
2021,BTS,Dynamite,0.261,0.29,4.0,-21.365,1.0,0.0403,0.947,0.634,0.0976,0.0665,66.172,audio_features,6RUOuyUt7978wDdDyBVx84,spotify:track:6RUOuyUt7978wDdDyBVx84,https://api.spotify.com/v1/tracks/6RUOuyUt7978wDdDyBVx84,https://api.spotify.com/v1/audio-analysis/6RUOuyUt7978wDdDyBVx84,168000.0,5.0
